formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,family_id,N_perm,primary_statistic,observed_value,null_mean,null_sd,joint_lift,joint_excess,z_observed,empirical_p,family_adjusted_p,n_extreme,n_family_extreme,selection_path_not_independently_confirmed,family_candidate_count,multiplicity_method,null_status
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F3_C_GIVEN_P,10000,nested_retention,0.45222475133297996,0.2523551214642014,0.0020717047281880786,1.7920173314062566,0.19986962986877854,96.47592494688436,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F3_C_GIVEN_P,10000,nested_retention,0.45222475133297996,0.2523551214642014,0.0020717047281880786,1.7920173314062566,0.19986962986877854,96.47592494688436,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F3_C_GIVEN_P,10000,nested_retention,0.46095388204579857,0.2653456511983559,0.002127912994077816,1.737182727374786,0.19560823084744267,91.92491957699349,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F3_C_GIVEN_P,10000,nested_retention,0.46095388204579857,0.2653456511983559,0.002127912994077816,1.737182727374786,0.19560823084744267,91.92491957699349,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F3_C_GIVEN_P,10000,nested_retention,0.46095388204579857,0.2653456511983559,0.002127912994077816,1.737182727374786,0.19560823084744267,91.92491957699349,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F4_T_GIVEN_PC,10000,nested_retention,0.27442030434452847,0.1542187212503558,0.0016198186974905639,1.7794227712408512,0.12020158309417267,74.20681294788727,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F4_T_GIVEN_PC,10000,nested_retention,0.36143498376231614,0.20548724958433004,0.001945283699679087,1.7589168403073427,0.1559477341779861,80.1670903856917,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F4_T_GIVEN_PC,10000,nested_retention,0.4461812139306227,0.25769852074838734,0.002213799294309195,1.7314077420190814,0.18848269318223537,85.13991926311932,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F4_T_GIVEN_PC,10000,nested_retention,0.26070419883261153,0.1517387571003312,0.0016095138572588734,1.7181121278081335,0.10896544173228034,67.70084099670748,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F4_T_GIVEN_PC,10000,nested_retention,0.3465938617962719,0.20459868532733058,0.001941676370761105,1.6940180296944136,0.1419951764689413,73.1301974969606,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F4_T_GIVEN_PC,10000,nested_retention,0.43203916399924686,0.25934311811861643,0.002242181722528845,1.6658979314100943,0.17269604588063042,77.02143146803246,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F5_V_GIVEN_PCT,10000,nested_retention,0.27781217750257997,0.17748533889686027,0.0038424994301218735,1.5652683158467602,0.1003268386057197,26.109786203022963,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,F5_V_GIVEN_PCT,10000,nested_retention,0.3431114551083591,0.21990769332857554,0.004222438639483623,1.560252167238635,0.12320376177978357,29.178342730126822,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,F5_V_GIVEN_PCT,10000,nested_retention,0.4146800825593395,0.2644245856785744,0.004529251443537482,1.5682357277602417,0.15025549688076512,33.174465748673704,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F5_V_GIVEN_PCT,10000,nested_retention,0.22908772952491985,0.15894638051967563,0.0037791421880575614,1.4412893755486402,0.07014134900524421,18.560124365496847,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,F5_V_GIVEN_PCT,10000,nested_retention,0.2964733313902652,0.20142934331289558,0.0041811865241770845,1.4718477780555068,0.09504398807736963,22.731343729295983,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,F5_V_GIVEN_PCT,10000,nested_retention,0.374992713494608,0.24951089430229323,0.0045700661549236635,1.5029111836707543,0.12548181919231477,27.457331018528937,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
