state_version_id,daily_rows,qualified_risk_rows,event_rows,membership_rows,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,1751066,12803,4561,22719,passed
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,1751066,2387,1086,4669,passed
